,now,doc,size(MB),storageSize(MB),chunk,insert_per_10sec
329,2016-03-25 16:07:23,49472854,11729.0,3493.0,0,126553
330,2016-03-25 16:07:33,49662107,11774.0,3507.0,0,189253
331,2016-03-25 16:07:44,49815867,11811.0,3514.0,0,153760
332,2016-03-25 16:07:54,49954170,11843.0,3523.0,0,138303
333,2016-03-25 16:08:04,50113339,11881.0,3539.0,0,159169
334,2016-03-25 16:08:14,50281365,11921.0,3551.0,0,168026
335,2016-03-25 16:08:24,50429298,11956.0,3556.0,0,147933
336,2016-03-25 16:08:35,50553576,11985.0,3579.0,0,124278
337,2016-03-25 16:08:45,50735357,12028.0,3586.0,0,181781
338,2016-03-25 16:08:55,50877003,12062.0,3596.0,0,141646
339,2016-03-25 16:09:05,51004959,12092.0,3605.0,0,127956
340,2016-03-25 16:09:16,51163892,12130.0,3614.0,0,158933
341,2016-03-25 16:09:26,51309724,12164.0,3623.0,0,145832
342,2016-03-25 16:09:36,51463617,12201.0,3640.0,0,153893
343,2016-03-25 16:09:46,51610377,12236.0,3647.0,0,146760
344,2016-03-25 16:09:57,51755344,12270.0,3654.0,0,144967
345,2016-03-25 16:10:07,51907477,12306.0,3667.0,0,152133
346,2016-03-25 16:10:17,52037338,12337.0,3674.0,0,129861
347,2016-03-25 16:10:27,52203941,12377.0,3688.0,0,166603
348,2016-03-25 16:10:38,52331815,12407.0,3701.0,0,127874
349,2016-03-25 16:10:48,52510367,12449.0,3711.0,0,178552
350,2016-03-25 16:10:58,52643752,12481.0,3723.0,0,133385
351,2016-03-25 16:11:08,52850955,12530.0,3735.0,0,207203
352,2016-03-25 16:11:18,52979377,12561.0,3744.0,0,128422
353,2016-03-25 16:11:29,53148191,12601.0,3751.0,0,168814
354,2016-03-25 16:11:39,53295309,12636.0,3768.0,0,147118
355,2016-03-25 16:11:49,53442087,12670.0,3774.0,0,146778
356,2016-03-25 16:11:59,53576733,12702.0,3785.0,0,134646
357,2016-03-25 16:12:10,53736980,12740.0,3797.0,0,160247
358,2016-03-25 16:12:20,53878201,12773.0,3806.0,0,141221
359,2016-03-25 16:12:30,54081640,12822.0,3818.0,0,203439
360,2016-03-25 16:12:40,54173682,12844.0,3831.0,0,92042
361,2016-03-25 16:12:51,54342482,12884.0,3841.0,0,168800
