now,doc,size(MB),storageSize(MB),chunk
2016-03-25 16:27:01,66899791,15861,4725,0
2016-03-25 16:27:11,67026344,15891,4737,0
2016-03-25 16:27:21,67212484,15935,4751,0
2016-03-25 16:27:32,67327201,15962,4756,0
2016-03-25 16:27:42,67505871,16004,4774,0
2016-03-25 16:27:52,67633163,16035,4784,0
2016-03-25 16:28:02,67776727,16069,4790,0
2016-03-25 16:28:12,67982860,16118,4800,0
2016-03-25 16:28:23,68105470,16147,4814,0
2016-03-25 16:28:33,68262453,16184,4818,0
2016-03-25 16:28:43,68410699,16219,4834,0
2016-03-25 16:28:53,68626039,16270,4848,0
2016-03-25 16:29:04,68725712,16294,4855,0
2016-03-25 16:29:14,68899548,16335,4872,0
2016-03-25 16:29:24,69055586,16372,4881,0
2016-03-25 16:29:34,69196524,16405,4890,0
2016-03-25 16:29:45,69372905,16447,4902,0
2016-03-25 16:29:55,69513970,16481,4913,0
2016-03-25 16:30:05,69719682,16529,4927,0
2016-03-25 16:30:15,69862280,16563,4939,0
2016-03-25 16:30:26,69988833,16593,4948,0
2016-03-25 16:30:36,70158653,16633,4959,0
2016-03-25 16:30:46,70311805,16670,4971,0
2016-03-25 16:30:56,70427747,16697,4976,0
2016-03-25 16:31:07,70604439,16739,4989,0
2016-03-25 16:31:17,70766134,16777,5001,0
2016-03-25 16:31:27,70897269,16809,5013,0
2016-03-25 16:31:37,71065730,16848,5022,0
2016-03-25 16:31:48,71201941,16882,5033,0
2016-03-25 16:31:58,71399977,16928,5043,0
2016-03-25 16:32:08,71524646,16958,5054,0
2016-03-25 16:32:19,71649788,16987,5066,0
2016-03-25 16:32:29,71826421,17029,5075,0
2016-03-25 16:32:39,71996188,17069,5089,0
2016-03-25 16:32:49,72152107,17106,5098,0
2016-03-25 16:32:59,72291183,17139,5110,0
2016-03-25 16:33:10,72451637,17178,5121,0
2016-03-25 16:33:20,72600999,17212,5128,0
2016-03-25 16:33:30,72757550,17250,5135,0
2016-03-25 16:33:41,72896852,17283,5135,0
2016-03-25 16:33:51,73085087,17327,5165,0
2016-03-25 16:34:01,73229752,17362,5175,0
2016-03-25 16:34:11,73387692,17399,5179,0
2016-03-25 16:34:22,73531668,17433,5193,0
2016-03-25 16:34:32,73659484,17463,5205,0
2016-03-25 16:34:42,73835180,17505,5219,0
2016-03-25 16:34:52,73977268,17539,5228,0
2016-03-25 16:35:02,74185968,17589,5242,0
2016-03-25 16:35:13,74294903,17615,5251,0
2016-03-25 16:35:23,74502528,17663,5267,0
2016-03-25 16:35:33,74621651,17692,5277,0
2016-03-25 16:35:43,74767385,17726,5281,0
2016-03-25 16:35:54,74912811,17761,5295,0
2016-03-25 16:36:04,75088827,17802,5307,0
2016-03-25 16:36:14,75282169,17848,5323,0
2016-03-25 16:36:24,75397488,17875,5327,0
2016-03-25 16:36:35,75554702,17913,5341,0
2016-03-25 16:36:45,75701462,17948,5348,0
2016-03-25 16:36:55,75853682,17984,5362,0
2016-03-25 16:37:05,75946856,18006,5367,0
2016-03-25 16:37:15,76123330,18048,5378,0
2016-03-25 16:37:26,76287440,18086,5391,0
2016-03-25 16:37:36,76492852,18135,5399,0
2016-03-25 16:37:46,76645228,18172,5415,0
2016-03-25 16:37:56,76799864,18208,5427,0
2016-03-25 16:38:07,76917510,18236,5436,0
2016-03-25 16:38:17,77040807,18265,5441,0
2016-03-25 16:38:27,77241500,18313,5457,0
2016-03-25 16:38:37,77377633,18345,5464,0
2016-03-25 16:38:47,77513492,18378,5478,0
2016-03-25 16:38:58,77678424,18416,5489,0
2016-03-25 16:39:08,77843659,18456,5503,0
2016-03-25 16:39:18,77983018,18488,5510,0
2016-03-25 16:39:28,78098859,18516,5520,0
2016-03-25 16:39:39,78277471,18558,5531,0
2016-03-25 16:39:49,78428906,18594,5540,0
2016-03-25 16:39:59,78579142,18630,5552,0
2016-03-25 16:40:09,78680803,18654,5559,0
2016-03-25 16:40:20,78868726,18699,5573,0
2016-03-25 16:40:30,78981237,18725,5584,0
2016-03-25 16:40:40,79218849,18782,5598,0
2016-03-25 16:40:50,79343049,18811,5607,0
2016-03-25 16:41:01,79488310,18846,5617,0
2016-03-25 16:41:11,79651643,18884,5628,0
2016-03-25 16:41:21,79796644,18918,5635,0
2016-03-25 16:41:31,79910261,18945,5649,0
2016-03-25 16:41:42,80075169,18985,5654,0
2016-03-25 16:41:52,80267819,19030,5675,0
2016-03-25 16:42:02,80418419,19066,5684,0
2016-03-25 16:42:12,80541137,19095,5691,0
2016-03-25 16:42:22,80665448,19125,5702,0
2016-03-25 16:42:33,80873115,19174,5714,0
2016-03-25 16:42:43,81017592,19208,5728,0
2016-03-25 16:42:53,81196981,19251,5737,0
2016-03-25 16:43:03,81338246,19285,5749,0
2016-03-25 16:43:14,81462851,19314,5756,0
2016-03-25 16:43:24,81632392,19354,5767,0
2016-03-25 16:43:34,81760298,19384,5777,0
2016-03-25 16:43:44,81933112,19425,5786,0
2016-03-25 16:43:54,82084443,19461,5802,0
2016-03-25 16:44:05,82229410,19495,5807,0
2016-03-25 16:44:15,82379624,19531,5818,0
2016-03-25 16:44:25,82543884,19570,5832,0
2016-03-25 16:44:36,82685694,19603,5843,0
2016-03-25 16:44:46,82803414,19631,5851,0
2016-03-25 16:44:56,83016911,19682,5869,0
2016-03-25 16:45:06,83158688,19716,5876,0
2016-03-25 16:45:16,83346667,19760,5890,0
2016-03-25 16:45:27,83495227,19796,5897,0
2016-03-25 16:45:37,83652560,19833,5914,0
2016-03-25 16:45:47,83771440,19862,5923,0
2016-03-25 16:45:57,83948195,19903,5937,0
2016-03-25 16:46:08,84098779,19939,5946,0
2016-03-25 16:46:18,84228576,19969,5954,0
2016-03-25 16:46:28,84372831,20004,5967,0
2016-03-25 16:46:38,84518771,20038,5978,0
